Date,Open,High,Low,Close,Volume,Adj. Close*
23-May-05,173.00,174.20,172.00,174.00,15549,174.00
20-May-05,171.50,173.40,171.30,173.40,18923,173.40
19-May-05,171.00,173.00,171.00,172.50,63164,172.50
18-May-05,170.00,171.00,169.90,171.00,24129,171.00
17-May-05,168.40,170.60,167.50,169.70,27220,169.70
13-May-05,167.70,168.40,166.50,167.20,9324,167.20
12-May-05,166.50,167.60,165.30,167.00,10258,167.00
11-May-05,166.00,166.00,164.00,166.00,10990,166.00
10-May-05,168.00,169.00,166.00,166.00,40755,166.00
9-May-05,168.00,168.90,167.50,167.60,10136,167.60
6-May-05,168.90,169.00,167.60,168.00,15836,168.00
4-May-05,166.20,168.90,166.20,168.30,13191,168.30
3-May-05,165.00,167.50,165.00,167.50,42250,167.50
29-Apr-05,166.00,167.10,166.00,167.00,10003,167.00
28-Apr-05,167.50,167.50,166.70,167.00,18202,167.00
27-Apr-05,166.50,167.70,166.10,167.00,24553,167.00
26-Apr-05,165.00,167.20,165.00,167.20,28263,167.20
25-Apr-05,164.90,164.90,163.00,163.30,21016,163.30
22-Apr-05,165.40,165.40,163.00,163.50,25800,163.50
21-Apr-05,162.00,163.80,160.30,163.80,25731,163.80
20-Apr-05,166.50,167.90,161.20,161.20,13281,161.20
19-Apr-05,160.60,167.00,159.40,167.00,43499,167.00
18-Apr-05,160.00,160.40,157.90,159.00,41737,159.00
15-Apr-05,153.00,162.80,153.00,161.30,49505,161.30
14-Apr-05,150.60,152.70,150.30,152.70,13905,152.70
13-Apr-05,153.00,153.00,150.00,151.00,4983,151.00
12-Apr-05,152.10,153.00,150.50,150.50,10944,150.50
11-Apr-05,152.00,153.60,152.00,152.10,3489,152.10
8-Apr-05,155.00,155.00,153.50,154.00,3092,154.00
7-Apr-05,153.00,153.80,152.20,153.40,21465,153.40
6-Apr-05,149.60,153.00,149.60,153.00,40352,153.00
